"Dispensing.Practice","IMD","Average.payments.per.weighted.patient"
"Dispensing",11.6936446,200.35
"Dispensing",11.48098962,224.14
"Dispensing",15.99082646,150.95
"Dispensing",13.51469479,206.88
"Non-dispensing",14.72275679,152.7
"Dispensing",11.87241063,254.16
"Dispensing",12.79738542,282.09
"Dispensing",7.19761548,181.03
"Dispensing",5.251815061,288.79
"Non-dispensing",13.66406726,158.23
"Dispensing",23.94330714,317.77
"Non-dispensing",32.0831477,158.78
"Non-dispensing",10.09135805,176.14
"Non-dispensing",19.43554941,152.62
"Non-dispensing",12.74766557,141.1
"Non-dispensing",15.49056856,159.4
"Dispensing",19.96701417,269.24
"Non-dispensing",12.45095749,186.07
"Dispensing",10.90199193,192.09
"Dispensing",16.80155317,177.9
"Dispensing",14.52405269,353.32
"Dispensing",12.95081146,270.81
"Dispensing",16.79080552,351.14
"Non-dispensing",21.36926178,140.78
"Non-dispensing",8.145526021,168.56
"Non-dispensing",49.85680576,161.32
"Non-dispensing",40.25255911,159.14
"Non-dispensing",32.88110167,179.04
"Non-dispensing",43.05532742,159.02
"Non-dispensing",40.84503225,183.94
"Non-dispensing",15.11552496,178.65
"Non-dispensing",49.88241739,173.14
"Non-dispensing",48.08444317,186.97
"Non-dispensing",32.09914157,168.25
"Non-dispensing",25.89139993,173.67
"Non-dispensing",6.69377033,211.71
"Non-dispensing",21.66593051,136.04
"Non-dispensing",12.41637613,191.84
"Non-dispensing",47.62008247,166.83
"Non-dispensing",52.86200831,170.3
"Non-dispensing",30.18722763,150.91
"Non-dispensing",30.19500966,161.51
"Non-dispensing",25.98557952,253.65
"Non-dispensing",13.32895205,184.35
"Non-dispensing",49.68833279,193.13
"Dispensing",34.88256868,171.07
"Non-dispensing",44.72903303,171.16
"Non-dispensing",49.49328357,172.93
"Non-dispensing",13.14871238,187.68
"Non-dispensing",33.46749823,203.9
"Non-dispensing",26.9214173,196.22
"Non-dispensing",47.5298813,180.4
"Non-dispensing",43.93860825,172.81
"Non-dispensing",36.35175169,186.96
"Non-dispensing",37.90216157,130.73
"Non-dispensing",45.80647663,178.33
"Non-dispensing",33.72115934,162.42
"Non-dispensing",44.87899265,262.81
"Non-dispensing",33.12991464,196.41
"Non-dispensing",50.49381855,214.6
"Non-dispensing",39.84498,206.12
"Non-dispensing",31.97685229,216.49
"Non-dispensing",32.69217839,169.05
"Non-dispensing",15.90433846,213.14
"Non-dispensing",48.36320359,174.65
"Non-dispensing",47.08880877,161.25
"Non-dispensing",49.61362073,212.42
"Non-dispensing",48.75494543,278.57
"Dispensing",8.601715285,184.52
"Non-dispensing",45.74752847,182.05
"Non-dispensing",46.76601718,163.28
"Non-dispensing",8.628143168,247.33
"Non-dispensing",48.20463488,161.21
"Non-dispensing",38.19576399,170.02
"Non-dispensing",52.90332924,189.63
"Non-dispensing",44.05860122,170.57
"Non-dispensing",49.60696311,178.55
"Non-dispensing",48.61319162,176.59
"Non-dispensing",49.87636999,174.22
"Non-dispensing",51.37865547,574.86
"Non-dispensing",42.16657766,199.52
"Non-dispensing",50.69932666,193.21
"Non-dispensing",47.69219567,163.9
"Non-dispensing",26.50908678,147.89
"Non-dispensing",20.90103133,151.98
"Non-dispensing",18.11637678,158.76
"Non-dispensing",24.01016243,144.06
"Non-dispensing",27.90359294,143.99
"Non-dispensing",14.13239705,168.4
"Non-dispensing",12.60644948,143.95
"Non-dispensing",16.92511143,163.06
"Non-dispensing",32.39401281,140.8
"Non-dispensing",19.96083105,140.92
"Non-dispensing",38.13413884,150.81
"Non-dispensing",31.66198449,150.56
"Non-dispensing",21.08435699,142.1
"Non-dispensing",24.86973268,146.77
"Non-dispensing",27.70433875,150.29
"Non-dispensing",28.80521363,152.37
"Non-dispensing",43.66064577,133.46
"Non-dispensing",41.30524088,154.97
"Non-dispensing",36.30144642,150.94
"Non-dispensing",23.84831082,144.95
"Non-dispensing",22.1748852,152.81
"Non-dispensing",11.73378503,154.76
"Non-dispensing",35.28409857,139.81
"Non-dispensing",7.544629793,162.92
"Non-dispensing",11.66250511,174.63
"Non-dispensing",34.00570215,146.31
"Non-dispensing",35.31349169,151.5
"Non-dispensing",26.83210225,137.15
"Non-dispensing",29.11282927,157.65
"Non-dispensing",25.53892984,167.07
"Non-dispensing",30.21766499,153.15
"Non-dispensing",35.86664263,150.85
"Non-dispensing",32.2853274,153.46
"Non-dispensing",16.06350185,155.92
"Non-dispensing",36.04753417,165.73
"Non-dispensing",23.27274897,151.18
"Non-dispensing",12.83511092,156.73
"Non-dispensing",25.85168518,157.34
"Non-dispensing",24.48871608,155.74
"Non-dispensing",20.64171855,165.66
"Non-dispensing",9.282885718,179.16
"Non-dispensing",17.46740479,150.39
"Non-dispensing",34.47180359,151.96
"Non-dispensing",23.02515665,146.24
"Non-dispensing",13.24514829,145.19
"Non-dispensing",15.31385499,175.33
"Non-dispensing",15.60200349,152.84
"Non-dispensing",26.10497141,170.55
"Non-dispensing",33.281622,153.08
"Non-dispensing",28.73807498,150.17
"Non-dispensing",33.98227087,153.15
"Non-dispensing",30.72602872,152.63
"Non-dispensing",39.89460741,161.98
"Non-dispensing",40.14047614,155.27
"Non-dispensing",20.62093585,154.27
"Non-dispensing",18.99123072,161.63
"Non-dispensing",36.98546256,155.33
"Non-dispensing",34.50677057,165.04
"Non-dispensing",18.30193436,174.2
