"Practice.Code","ICB.NAME","IMD","IMD_quintile"
"E82102","Hertfordshire and West Essex",8.66005872,1
"E82104","Hertfordshire and West Essex",13.45804131,2
"E82105","Hertfordshire and West Essex",13.90238533,2
"E82106","Hertfordshire and West Essex",4.874098341,1
"E82107","Hertfordshire and West Essex",12.22020659,1
"E82111","Hertfordshire and West Essex",19.00386342,3
"E82113","Hertfordshire and West Essex",10.42949403,1
"E82115","Hertfordshire and West Essex",17.81658563,2
"E82117","Hertfordshire and West Essex",19.24014103,3
"E82121","Hertfordshire and West Essex",8.379602457,1
"E82123","Hertfordshire and West Essex",19.54292969,3
"E82124","Hertfordshire and West Essex",13.95059242,2
"E82129","Hertfordshire and West Essex",7.892550529,1
"E82130","Hertfordshire and West Essex",9.179645233,1
"E82132","Cambridgeshire and Peterborough",9.799991604,1
"E82133","Hertfordshire and West Essex",20.62760973,3
"E82626","Hertfordshire and West Essex",11.84575136,1
"E82638","Hertfordshire and West Essex",25.50518332,4
"E82640","Hertfordshire and West Essex",23.416007,3
"E82643","Hertfordshire and West Essex",7.775592459,1
"E82644","Hertfordshire and West Essex",18.57166922,3
"E82652","Hertfordshire and West Essex",8.422749114,1
"E82654","Hertfordshire and West Essex",6.622586106,1
"E82655","Hertfordshire and West Essex",20.21952124,3
"E82657","Hertfordshire and West Essex",9.036842839,1
"E82661","Hertfordshire and West Essex",18.62695311,3
"E83003","North Central London",14.02950253,2
"E83005","North Central London",12.5059403,1
"E83006","North Central London",23.02040237,3
"E83007","North Central London",19.12810848,3
"E83008","North Central London",9.221716177,1
"E83009","North Central London",11.14138591,1
"E83010","North Central London",14.23836231,2
"E83011","North Central London",30.40216781,4
"E83012","North Central London",14.78739995,2
"E83013","North Central London",12.00519248,1
"E83016","North Central London",12.88502109,2
"E83017","North Central London",13.4290826,2
"E83018","North Central London",20.72787463,3
"E83020","North Central London",15.86594544,2
"E83021","North Central London",14.2048699,2
"E83024","North Central London",10.33639252,1
"E83025","North Central London",24.42204981,3
"E83026","North Central London",11.98643018,1
"E83027","North Central London",15.62882691,2
"E83028","North Central London",26.63804914,4
"E83030","North Central London",13.2379982,2
"E83031","North Central London",15.19772903,2
"E83032","North Central London",22.30957072,3
"E83034","North Central London",18.65881522,3
"E83035","North Central London",13.10735847,2
"E83037","North Central London",12.21607702,1
"E83038","North Central London",19.35750983,3
"E83039","North Central London",15.93538052,2
"E83041","North Central London",20.23648629,3
"E83044","North Central London",14.83563387,2
"E83045","North Central London",17.61800339,2
"E83046","North Central London",21.36508977,3
"E83049","North Central London",15.03338312,2
"E83050","North Central London",10.89563308,1
"E83053","North Central London",14.28185485,2
"E83600","North Central London",13.64389188,2
"E83613","North Central London",15.31173144,2
"E83621","North Central London",13.62941763,2
"E83622","North Central London",12.0122969,1
"E83637","North Central London",20.64107929,3
"E83638","North Central London",11.70818909,1
"E83639","North Central London",15.1544346,2
"E83649","North Central London",15.87398709,2
"E83650","North Central London",15.30685843,2
"E83653","North Central London",16.03045442,2
"E83657","North Central London",15.99104997,2
"E83668","North Central London",17.08258867,2
"E84002","North West London",23.82022348,3
"E84003","North West London",21.37683113,3
"E84004","North West London",16.63260126,2
"E84005","North West London",12.364521,1
"E84006","North West London",25.95315417,4
"E84007","North West London",15.75270252,2
