"Practice.Code","prop65","IMD","Practice.Rurality"
"C82003",21.30935,9.508951056,"Urban"
"C82005",13.67986,30.54897598,"Urban"
"C82008",15.98482,38.97328055,"Urban"
"C82009",22.74664,9.487356734,"Urban"
"C82011",17.21243,21.24706118,"Urban"
"C82013",23.3453,15.56816381,"Urban"
"C82014",21.68139,11.58744058,"Urban"
"C82019",15.26666,37.76900431,"Urban"
"C82021",21.12523,10.2489601,"Urban"
"C82024",15.12149,27.73170003,"Urban"
"C82026",20.41315,17.60517261,"Urban"
"C82029",20.20211,23.03065532,"Urban"
"C82030",25.87137,13.78807862,"Urban"
"C82031",10.37342,23.37128464,"Urban"
"C82033",12.85739,29.03647797,"Urban"
"C82035",18.9256,19.65932834,"Urban"
"C82037",20.13093,25.56379553,"Urban"
"C82038",22.81136,13.41971141,"Urban"
"C82039",16.94803,14.11046594,"Urban"
"C82041",18.08303,15.53519043,"Urban"
"C82042",23.64902,12.7570674,"Urban"
"C82043",22.71394,14.91669214,"Urban"
"C82045",16.01174,16.82752719,"Urban"
"C82046",13.41593,42.68250257,"Urban"
"C82047",20.16,14.9775809,"Urban"
"C82048",24.4317,10.23221599,"Urban"
"C82050",20.34892,17.48137932,"Urban"
"C82052",24.61696,14.94776078,"Urban"
"C82053",12.78539,48.80090151,"Urban"
"C82054",24.21521,11.0715905,"Urban"
"C82055",22.15502,8.656276347,"Urban"
"C82056",23.71425,9.758203304,"Urban"
"C82059",10.49107,29.57827103,"Urban"
"C82061",16.44751,16.62741536,"Urban"
"C82063",12.77734,29.78924126,"Urban"
"C82064",23.32612,13.73720998,"Urban"
"C82066",20.25048,9.878449243,"Urban"
"C82067",21.97445,8.079199827,"Urban"
"C82068",24.39891,11.3243633,"Urban"
"C82070",18.42551,18.37143562,"Urban"
"C82071",21.62677,15.53782284,"Urban"
"C82072",19.68039,20.76253905,"Urban"
"C82073",10.91371,33.15154773,"Urban"
"C82075",22.47542,13.82280205,"Urban"
"C82078",22.6899,12.94854503,"Urban"
"C82079",19.10159,20.6645116,"Urban"
"C82080",10.34908,31.284177,"Urban"
"C82084",13.65178,26.73179584,"Urban"
"C82086",9.47991,35.95267725,"Urban"
"C82088",14.90809,25.18977378,"Urban"
"C82091",14.82966,29.46815871,"Urban"
"C82092",15.03945,28.05076711,"Urban"
"C82094",12.44686,36.37359127,"Urban"
"C82095",20.65299,10.60911823,"Urban"
"C82096",14.54087,15.09548993,"Urban"
"C82097",18.14224,11.84074614,"Urban"
"C82098",21.58802,11.5071145,"Urban"
"C82099",10.85116,26.57484416,"Urban"
"C82100",15.69552,43.38647615,"Urban"
"C82103",17.94302,12.74358609,"Urban"
"C82105",5.69948,21.67656868,"Urban"
"C82111",0.2685,12.75377972,"Urban"
"C82112",11.01766,7.319511678,"Urban"
"C82114",10.21809,30.54275685,"Urban"
"C82116",10.8818,31.55084766,"Urban"
"C82119",11.92971,24.06350799,"Urban"
"C82120",24.75275,15.41009736,"Urban"
"C82121",21.8423,17.89264813,"Urban"
"C82122",14.88498,16.02486049,"Urban"
"C82124",2.88768,20.71922324,"Urban"
"C82610",9.03445,47.37859408,"Urban"
"C82620",11.1331,26.65010786,"Urban"
"C82623",14.37061,21.75599541,"Urban"
"C82626",13.57561,39.15457174,"Urban"
"C82627",17.06344,17.47411477,"Urban"
"C82628",22.7525,6.876822599,"Urban"
"C82631",12.98389,11.20541386,"Urban"
"C82634",16.53527,11.85240588,"Urban"
"C82639",13.90207,25.44127557,"Urban"
"C82642",9.78698,29.3465856,"Urban"
"C82651",17.01523,26.22140104,"Urban"
"C82653",7.05418,34.7941471,"Urban"
"C82656",19.59633,14.52176447,"Urban"
"C82659",9.33476,30.67436401,"Urban"
"C82660",13.80382,24.89703735,"Urban"
"C82662",4.73331,25.03779543,"Urban"
"C82667",11.40282,30.85684855,"Urban"
"C82669",10.83333,28.2679393,"Urban"
"C82671",9.03906,29.16026862,"Urban"
"C82676",15.44431,26.40672845,"Urban"
"C83001",9.89964,29.45093969,"Urban"
"C83003",17.38928,14.89198656,"Urban"
"C83004",19.08242,22.3062224,"Urban"
"C83007",23.651,10.56035899,"Urban"
"C83009",16.93227,33.02050943,"Urban"
"C83010",14.97928,22.72696923,"Urban"
"C83014",19.14089,29.88316635,"Urban"
"C83018",19.53454,37.56797914,"Urban"
"C83019",29.85952,45.5456367,"Urban"
"C83023",23.71045,13.7814782,"Urban"
"C83025",22.018,10.42145665,"Urban"
"C83026",26.02866,9.278573605,"Urban"
"C83035",23.07431,9.514102311,"Urban"
"C83040",23.24053,18.65467604,"Urban"
"C83041",23.81737,22.86545199,"Urban"
"C83044",19.05436,41.03635833,"Urban"
"C83045",27.53241,42.18734641,"Urban"
"C83048",18.02969,18.65640424,"Urban"
"C83051",9.57767,34.87399133,"Urban"
"C83054",22.02856,9.818339,"Urban"
"C83056",28.64694,23.41451825,"Urban"
"C83059",16.32804,23.3342331,"Urban"
"C83064",40.17443,46.55686029,"Urban"
"C83072",21.13717,28.14254048,"Urban"
"C83075",21.07345,15.88935051,"Urban"
"C83078",19.63968,19.37305698,"Urban"
"C83079",15.87218,22.64030323,"Urban"
"C83080",19.34143,17.69294631,"Urban"
"C83082",19.34132,25.21765372,"Urban"
"C83085",25.15747,24.72507363,"Urban"
"C83626",8.56707,23.60950479,"Urban"
"C84004",14.11215,44.51799314,"Urban"
"C84009",19.94337,20.96039565,"Urban"
"C84010",16.92223,21.79877099,"Urban"
"C84011",20.63736,23.45221831,"Urban"
"C84012",22.24265,32.76896279,"Urban"
"C84013",23.93307,20.73558008,"Urban"
"C84014",18.70631,24.67783758,"Urban"
"C84016",22.93402,25.19815501,"Urban"
"C84018",10.6743,37.11539503,"Urban"
"C84019",23.08525,20.69068847,"Urban"
"C84020",15.62107,29.65118954,"Urban"
"C84023",0.80186,18.5901336,"Urban"
"C84028",20.10224,8.213309131,"Urban"
"C84029",18.23065,24.03584148,"Urban"
"C84030",16.15968,14.49089704,"Urban"
"C84031",18.20728,31.46356895,"Urban"
"C84032",27.85429,20.30552453,"Urban"
"C84033",22.28936,16.29657318,"Urban"
"C84034",16.99465,35.70751553,"Urban"
"C84036",16.97928,31.63068595,"Urban"
"C84039",13.14573,22.60904064,"Urban"
"C84043",14.85179,44.69014087,"Urban"
"C84046",16.58204,36.13094111,"Urban"
"C84051",17.38841,26.24144398,"Urban"
"C84053",18.19356,23.54021782,"Urban"
"C84057",21.65541,29.3454635,"Urban"
"C84059",15.51356,20.01680766,"Urban"
"C84060",18.61428,34.31978336,"Urban"
"C84061",14.55208,33.47197113,"Urban"
"C84063",12.10398,37.91617316,"Urban"
"C84064",13.56225,43.77090571,"Urban"
"C84065",18.34931,17.72869032,"Urban"
"C84067",24.13377,20.85659808,"Urban"
"C84069",19.30513,27.0324906,"Urban"
"C84074",19.71861,28.99161592,"Urban"
"C84076",19.601,28.31970923,"Urban"
"C84077",20.01492,26.87299138,"Urban"
"C84078",14.94665,32.50810417,"Urban"
"C84081",18.82496,35.78142073,"Urban"
"C84085",14.67174,25.02950105,"Urban"
"C84092",9.59191,35.34050113,"Urban"
"C84094",21.72468,20.14024306,"Urban"
"C84095",20.72299,23.4972923,"Urban"
"C84105",8.33459,41.63921011,"Urban"
"C84106",20.67949,28.96037608,"Urban"
"C84107",24.65147,16.23567126,"Urban"
"C84112",21.75393,9.914932684,"Urban"
"C84114",21.08114,30.16394838,"Urban"
"C84116",16.28561,40.92059932,"Urban"
"C84120",20.27618,9.952313753,"Urban"
"C84122",16.28119,18.58359345,"Urban"
"C84129",20.98513,25.01208893,"Urban"
"C84131",21.05797,17.86886209,"Urban"
"C84136",9.57299,38.57250401,"Urban"
"C84140",23.29905,28.97116359,"Urban"
"C84144",8.86235,36.85244436,"Urban"
"C84613",19.47707,9.608644788,"Urban"
