"","PRAC_CODE","TOTAL_GP_HC","TOTAL_GP_FTE","Date"
"115","C86626","1","1","1709"
"116","C87010","1","0.853333333","2309"
"117","C87606","1","0.933333333","2204"
"118","C87616","1","1","2112"
"119","C88057","1","0.693333333","1809"
"120","C88059","1","1","2309"
"121","C88082","1","0.666666667","2309"
"122","C88084","1","0.213333333","2207"
"123","C88091","1","0.786666667","2309"
"124","C88622","1","0.890133333","2309"
"125","C88643","1","1","2012"
"126","C88652","1","0.666666667","2307"
"127","C88655","1","1","1909"
"128","D81042","1","0.213333333","2309"
"129","D81078","1","0.56","2305"
"130","D81081","1","0.8","2306"
"131","D81602","1","0.266666667","2309"
"132","D81629","1","0.533333333","2309"
"133","D81645","1","1","2309"
"134","D82024","1","1","2301"
"135","D82100","1","1","2309"
"136","D82624","1","0.746666667","1809"
"137","D83080","1","1","2301"
"138","E81001","1","1","2206"
"139","E81043","1","0.986666667","1909"
"140","E81052","1","0.96","2309"
"141","E81077","1","0.853333333","2209"
"142","E81615","1","0.986666667","1809"
"143","E81633","1","0.933333333","2309"
"144","E82105","1","0.306666667","2309"
"145","E82131","1","0.213333333","2109"
"146","E82644","1","1","1709"
"147","E83038","1","0.24","2309"
"148","E83624","1","0.933333333","1809"
"149","E83644","1","0.666666667","1709"
"150","E83650","1","0.943466667","2107"
"151","E83668","1","0.933333333","2309"
"152","E84030","1","1","2309"
"153","E84057","1","0.607535439","2309"
"154","E84059","1","0.426666667","2305"
"155","E84637","1","1","2309"
"156","E84653","1","1","2207"
"157","E84699","1","1","1809"
"158","E85021","1","0.96","2309"
"159","E85023","1","0.746666667","2309"
"160","E85053","1","1","2309"
"161","E85061","1","0.986666667","2110"
"162","E85071","1","0.746666667","2309"
"163","E85074","1","0.986666667","2301"
"164","E85098","1","0.986666667","2309"
"165","E85105","1","0.533333333","2012"
"166","E85116","1","0.4","2309"
"167","E85630","1","0.16","2209"
"168","E85643","1","1","2309"
"169","E85683","1","1","2309"
"170","E85694","1","0.533333333","2111"
"171","E85718","1","0.8","2306"
"172","E85721","1","0.533333333","2009"
"173","E85723","1","0.533333333","2012"
"174","E85726","1","0.8","2309"
"175","E85733","1","0.666666667","1809"
"176","E85735","1","0.8","2309"
"177","E85740","1","0.986666667","2204"
"178","E85743","1","1","1809"
"179","E87050","1","0.213333333","2009"
"180","E87694","1","0.533333333","2309"
"181","E87735","1","0.986666667","2106"
"182","E87741","1","0.893333333","2309"
"183","E87751","1","1","1909"
"184","E87755","1","0.819973973","2309"
"185","F81016","1","0.986666667","1909"
"186","F81026","1","1","1909"
"187","F81037","1","0.213333333","2202"
"188","F81069","1","0.986666667","2309"
"189","F81088","1","0.026666667","1909"
"190","F81156","1","0.986666667","2103"
"191","F81186","1","1","2309"
"192","F81193","1","0.48","2202"
"193","F81195","1","0.506666667","1909"
"194","F81198","1","0.666666667","2209"
"195","F81622","1","0.986666667","1809"
"196","F81623","1","0.666666667","2109"
"197","F81632","1","1","2206"
"198","F81635","1","0.866666667","2309"
"199","F81651","1","0.986666667","2309"
"200","F81697","1","1","2309"
"201","F81698","0","0","1709"
"202","F81708","1","1","2012"
"203","F81729","1","0.666666667","2309"
"204","F81733","1","0.986666667","1709"
"205","F81737","1","0.266666667","2309"
"206","F81739","1","1","2309"
"207","F81740","1","1","2309"
"208","F81746","1","0.16","2301"
"209","F81751","1","1","2309"
"210","F81755","1","0.96","1709"
"211","F82034","0","0","2212"
"212","F82039","1","0.56","2309"
"213","F82040","1","0.693333333","2012"
"214","F82045","1","0.266666667","2309"
"215","F82607","1","0.933333333","2309"
"216","F82621","1","0.984","2106"
"217","F82624","1","0.266666667","2309"
"218","F82648","1","1","2106"
"219","F82649","1","1","2309"
"220","F82671","1","1","2309"
"221","F82680","1","0.973333333","2309"
"222","F82686","1","0.96","2309"
"223","F83034","1","0.986666667","2309"
"224","F83677","1","1","1909"
"225","F83683","1","0.6656","2309"
"226","F83686","1","0.933333333","2309"
"227","F84022","1","0.213333333","2209"
"228","F84086","1","0.64","2309"
"229","F84632","1","0.64","2202"
"230","F84657","1","0.266666667","1809"
"231","F84740","1","0.666666667","1709"
