"Practice.Code","Year","TOTAL_PATIENTS","TOTAL_GP_EXTGL_HC","TOTAL_GP_EXTGL_FTE","IMD","IMD_quintile"
"A81064","2021",7196.66666666667,3,2.2,46.1153732,"5"
"A81064","2022",7375.7,3,2.2,46.1153732,"5"
"A81064","2023",8042.91666666667,3,2.1,46.1153732,"5"
"A81064","2024",8701.5,3,2,46.1153732,"5"
"A81065","2016",3395,1,1.2,48.7024387375,"5"
"A81065","2017",3545,1,1.2,48.855740245,"5"
"A81065","2018",3923,1,1.1,49.0090417525,"5"
"A81065","2019",3948,1,1.1,49.16234326,"5"
"A81065","2020",3928,1,1.1,49.16234326,"5"
"A81065","2021",3896,1,1.1,49.16234326,"5"
"A81065","2022",3797.6,1,1.5,49.16234326,"5"
"A81065","2023",3828.66666666667,1,1.5,49.16234326,"5"
"A81065","2024",3804.9,1,1.5,49.16234326,"5"
"A81066","2016",4239,3,3,14.8671506275,"2"
"A81066","2017",4249,3,3,15.271891075,"2"
"A81066","2018",4383,3,3,15.6766315225,"2"
"A81066","2019",4527,3,3,16.08137197,"2"
"A81066","2020",4686,3,3,16.08137197,"2"
"A81066","2021",4837,3,3,16.08137197,"2"
"A81066","2022",4990.4,3,3,16.08137197,"2"
