"Practice.Code","Year","IMD_quintile","ICB.NAME","Life_Expectancy_Female","Life_Expectancy_Male"
"A81630",2017,5,"North East and North Cumbria",77.14130703,73.28692972
"A81630",2019,5,"North East and North Cumbria",77.15449789,73.1939498
"A81630",2020,5,"North East and North Cumbria",77.0375,72.6914
"A81631",2010,4,"North East and North Cumbria",79.6752913442971,75.8490589027579
"A81631",2012,5,"North East and North Cumbria",81.6970743853097,76.9732108317215
"A81631",2014,5,"North East and North Cumbria",81.3186082158185,77.5242463117383
"A81631",2017,5,"North East and North Cumbria",81.3296247,76.88779551
"A81631",2019,5,"North East and North Cumbria",81.31094667,77.09900688
"A81631",2020,5,"North East and North Cumbria",81.3438,77.2129
"A81634",2010,5,"North East and North Cumbria",76.5867550488192,71.9440779777786
"A81634",2012,5,"North East and North Cumbria",77.0057939914163,71.8882142857143
"A81634",2014,5,"North East and North Cumbria",77.0403361344538,71.5211808809747
"A81634",2017,5,"North East and North Cumbria",76.46770058,71.9025641
"A81634",2019,5,"North East and North Cumbria",77.12556941,73.13412793
"A81634",2020,5,"North East and North Cumbria",76.7842,72.901
"A82003",2010,2,"North East and North Cumbria",81.7932282125909,77.6849322663092
"A82003",2012,2,"North East and North Cumbria",82.0602757592696,78.3052330022918
"A82003",2014,2,"North East and North Cumbria",NA,NA
"A82003",2017,2,"North East and North Cumbria",82.86867261,79.31900947
"A82003",2019,2,"North East and North Cumbria",83.12728588,80.7456471
