"","Practice.Code","Achievement_AF","Achievement_BP","Achievement_CHD","Achievement_CHOL","Achievement_HF","Achievement_HYP","Achievement_LVSD","Achievement_PAD","Achievement_STIA","Prevalence_AF","Prevalence_BP","Prevalence_CHD","Prevalence_CHOL","Prevalence_HF","Prevalence_HYP","Prevalence_LVSD","Prevalence_PAD","Prevalence_STIA","List.Size_AF","List.Size_BP","List.Size_CHD","List.Size_CHOL","List.Size_HF","List.Size_HYP","List.Size_LVSD","List.Size_PAD","List.Size_STIA"
"3279","N81121",100,100,100,100,100,100,NA,100,100,2.66666666666667,NA,2.85507246376812,NA,1.15942028985507,12.4927536231884,0.89058524173028,0.826086956521739,1.66666666666667,6900,2897,6900,7074,6900,6900,NA,6900,6900
"3280","N81039",100,100,100,92.1333333333333,100,100,NA,100,100,3.21178245053678,NA,3.93044095466241,NA,1.84544405997693,18.1705261290036,1.2012012012012,0.789637121817053,2.52861325525685,11271,5893,11271,11655,11271,11271,NA,11271,11271
"3281","N81067",83.2413793103448,75.4666666666667,99.6785714285714,0,74.4137931034483,83.6,NA,100,94.0909090909091,2.46316252474159,NA,2.94699802067297,NA,1.09962612711678,16.2964592038707,0.703915530136384,0.582801847371894,1.71541675830218,9094,4325,9094,9092,9094,9094,NA,9094,9094
"3282","N81117",100,100,98.9642857142857,100,100,76,NA,100,90.1818181818182,2.290871225269,NA,3.31482124262409,NA,1.26692120791392,13.9881985421728,0.880981171186733,1.11072544255467,2.09996528982992,5762,2333,5762,5789,5762,5762,NA,5762,5762
"3283","N81088",100,98.7333333333333,100,72.5333333333333,100,100,NA,100,100,2.56827326427532,NA,3.02200154096396,NA,0.770481979282596,15.6579060011985,0.270358839914796,0.736238335758925,2.08030134406301,11681,5815,11681,12206,11681,11681,NA,11681,11681
"3284","N81085",100,100,100,100,100,100,NA,100,100,2.7096497804434,NA,3.06308236050123,NA,1.42444039841491,16.8897932954911,1.1250131426769,0.856806254685659,2.30266680946771,9337,4769,9337,9511,9337,9337,NA,9337,9337
"3285","N81046",100,100,100,100,100,100,NA,100,100,2.74212368728121,NA,2.9852197588487,NA,1.01127965772073,12.8160248930377,0.558282799114448,0.466744457409568,1.80863477246208,10284,4769,10284,10389,10284,10284,NA,10284,10284
"3286","N81030",100,89.2666666666667,98.0714285714286,100,100,100,NA,100,100,3.68152193059715,NA,3.75785332628736,NA,1.18607245610945,18.8068815689038,0.991459117243027,0.534319769831484,2.31930009981798,17031,9733,17031,16743,17031,17031,NA,17031,17031
"3287","N81027",99.2068965517241,93.4,100,63.7333333333333,100,98.04,NA,100,100,3.41327771984706,NA,3.61487660757734,NA,2.11331247827598,17.18456725756,1.65497514131989,0.604796663190824,2.80848105665624,14385,7638,14385,14683,14385,14385,NA,14385,14385
"3288","N81084",75,100,95.7142857142857,39,72.3103448275862,86.12,NA,100,82.9090909090909,3.0493586864301,NA,3.64325996905724,NA,1.60203623296901,17.7571492738434,1.29126213592233,0.668762788840645,2.50037430753107,20037,10868,20037,20600,20037,20037,NA,20037,20037
