Practice.Code,Outcome,Outcome2
A87014,NA,Merged
A87015,Merged,Merged
A87023,NA,Merged
A87027,NA,Merged
A88007,NA,Merged
A88603,Merged,Merged
A89603,NA,Merged
A89604,NA,Merged
B81002,NA,Merged
B81010,NA,Merged
B81014,NA,Merged
B81021,NA,Closed
B81023,NA,Merged
B81049,NA,Merged
B81050,NA,Merged
B81053,NA,Merged
B81055,NA,Merged
B81056,NA,Merged
B81058,NA,Merged
B81060,NA,Closed
B81062,NA,Merged
B81066,Merged,Merged
B81070,NA,Merged
B81077,NA,Merged
B81080,NA,Merged
B81095,NA,Merged
B81602,Merged,Merged
B81603,NA,Merged
B81620,NA,Closed
B81658,NA,Closed
B81664,NA,Merged
B81677,Merged,Merged
B81688,Merged,Merged
B82020,NA,Merged
B82028,NA,Merged
B82062,NA,Merged
B82103,NA,Merged
B83006,NA,Merged
B83007,NA,Merged
B83011,NA,Merged
B83013,NA,Merged
B83017,NA,Merged
B83021,NA,Merged
B83023,NA,Merged
B83027,NA,Merged
B83030,NA,Merged
B83040,NA,Merged
B83049,NA,Merged
B83061,NA,Merged
B83602,NA,Merged
B83617,NA,Merged
B83638,NA,Merged
B84002,NA,Merged
B84005,NA,Merged
B84610,NA,Merged
B84615,NA,Merged
B85622,NA,Merged
B85638,Merged,Merged
B86001,NA,Merged
B86023,NA,Closed
B86031,NA,Merged
B86047,NA,Merged
B86056,NA,Merged
B86058,NA,Closed
B86074,NA,Merged
B86077,NA,Merged
B86095,NA,Merged
B86625,NA,Merged
B86633,Merged,Merged
B86654,NA,Merged
B86682,NA,Merged
B87040,Merged,Merged
B87041,NA,Merged
B87600,NA,Merged
C85026,NA,Merged
C85628,NA,Closed
C86022,NA,Closed
C86039,NA,Merged
C86613,Merged,Merged
C86623,Merged,Merged
C87606,NA,Closed
C87621,NA,Merged
C88024,NA,Merged
C88033,NA,Merged
C88057,NA,Closed
C88068,NA,Merged
C88096,NA,Merged
C88643,NA,Merged
C88656,NA,Merged
Y00025,NA,Closed
Y00683,NA,Merged
Y02344,NA,Merged
Y02483,Merged,Merged
Y02509,NA,Merged
Y02572,NA,Merged
Y02656,NA,Closed
Y02658,NA,Merged
Y02710,NA,Merged
Y03112,NA,Closed
D81007,NA,Merged
D81019,NA,Merged
D81039,NA,Merged
D81605,NA,Merged
D81616,NA,Merged
E84690,NA,Merged
E84705,NA,Merged
F81670,NA,Merged
F83051,NA,Merged
F84631,NA,Merged
G82688,NA,Merged
G82751,NA,Merged
